Name,Stmts,Miss,Branch,BrPart,Cover
Lib\_markupbase.py,270,247,172,0,6%
Lib\_osx_support.py,251,222,154,0,7%
Lib\_py_abc.py,83,72,52,0,10%
Lib\_pyio.py,1477,1208,602,3,14%
Lib\_strptime.py,306,199,172,8,29%
Lib\_threading_local.py,67,50,14,0,26%
Lib\aifc.py,616,611,240,0,1%
Lib\asynchat.py,148,146,52,0,1%
Lib\asyncore.py,404,394,176,0,2%
Lib\cProfile.py,115,94,26,1,17%
Lib\cgi.py,531,516,236,0,2%
Lib\cgitb.py,206,193,102,0,4%
Lib\colorsys.py,103,92,50,0,7%
Lib\compileall.py,226,211,136,1,4%
Lib\crypt.py,72,66,38,1,6%
Lib\curses\__init__.py,39,38,12,0,2%
Lib\dbm\__init__.py,91,73,36,1,17%
Lib\dbm\dumb.py,177,143,46,0,16%
Lib\dbm\gnu.py,1,0,0,0,100%
Lib\dbm\ndbm.py,1,0,0,0,100%
Lib\difflib.py,669,604,346,1,7%
Lib\doctest.py,962,730,494,12,20%
Lib\ensurepip\__init__.py,119,84,43,1,25%
Lib\ensurepip\_uninstall.py,11,6,2,1,46%
Lib\filecmp.py,164,133,62,1,15%
Lib\fileinput.py,235,199,88,1,12%
Lib\fractions.py,303,234,130,0,16%
Lib\ftplib.py,549,457,260,1,13%
Lib\getopt.py,107,90,62,1,12%
Lib\getpass.py,109,87,40,1,18%
Lib\graphlib.py,109,88,56,0,16%
Lib\gzip.py,397,337,194,1,12%
Lib\hmac.py,110,86,46,0,19%
Lib\html\__init__.py,37,21,20,1,30%
Lib\html\entities.py,9,0,2,0,100%
Lib\html\parser.py,279,236,134,0,11%
Lib\http\__init__.py,72,71,2,0,1%
Lib\idlelib\__init__.py,1,0,0,0,100%
Lib\idlelib\autocomplete.py,142,132,62,0,6%
Lib\idlelib\autocomplete_w.py,316,314,123,0,1%
Lib\idlelib\autoexpand.py,68,59,26,1,13%
Lib\idlelib\browser.py,126,122,48,0,2%
Lib\idlelib\calltip.py,108,101,38,0,5%
Lib\idlelib\calltip_w.py,121,120,30,0,1%
Lib\idlelib\codecontext.py,135,132,42,0,2%
Lib\idlelib\colorizer.py,200,195,62,0,2%
Lib\idlelib\config.py,407,403,214,0,1%
Lib\idlelib\config_key.py,180,179,40,0,1%
Lib\idlelib\configdialog.py,1029,1027,216,0,1%
Lib\idlelib\debugger.py,398,395,132,0,1%
Lib\idlelib\debugger_r.py,218,215,38,0,1%
Lib\idlelib\debugobj.py,103,101,24,0,2%
Lib\idlelib\debugobj_r.py,28,17,8,1,44%
Lib\idlelib\delegator.py,22,16,6,1,32%
Lib\idlelib\editor.py,1141,1130,405,0,1%
Lib\idlelib\filelist.py,101,99,36,0,1%
Lib\idlelib\format.py,235,233,90,0,1%
Lib\idlelib\grep.py,112,108,30,0,3%
Lib\idlelib\help.py,187,183,90,0,1%
Lib\idlelib\help_about.py,110,105,10,0,4%
Lib\idlelib\history.py,65,64,24,0,1%
Lib\idlelib\hyperparser.py,141,122,76,1,12%
Lib\idlelib\idle_test\__init__.py,7,5,0,0,29%
Lib\idlelib\idle_test\test_autocomplete.py,218,214,20,0,2%
Lib\idlelib\idle_test\test_autocomplete_w.py,22,19,4,0,12%
Lib\idlelib\idle_test\test_autoexpand.py,105,101,10,0,3%
Lib\idlelib\idle_test\test_browser.py,181,180,14,0,1%
Lib\idlelib\idle_test\test_calltip.py,230,229,110,0,1%
Lib\idlelib\idle_test\test_calltip_w.py,21,20,4,0,4%
Lib\idlelib\idle_test\test_codecontext.py,265,264,30,0,1%
Lib\idlelib\idle_test\test_colorizer.py,370,369,34,0,1%
Lib\idlelib\idle_test\test_config.py,482,481,30,0,1%
Lib\idlelib\idle_test\test_config_key.py,206,205,28,0,1%
Lib\idlelib\idle_test\test_configdialog.py,1152,1151,44,0,1%
Lib\idlelib\idle_test\test_debugger.py,18,17,4,0,5%
Lib\idlelib\idle_test\test_debugger_r.py,18,17,8,0,4%
Lib\idlelib\idle_test\test_debugobj.py,36,35,12,0,2%
Lib\idlelib\idle_test\test_debugobj_r.py,13,6,6,1,63%
Lib\idlelib\idle_test\test_delegator.py,22,17,4,1,31%
Lib\idlelib\idle_test\test_editmenu.py,53,51,12,0,3%
Lib\idlelib\idle_test\test_editor.py,102,101,30,0,1%
Lib\idlelib\idle_test\test_filelist.py,25,24,6,0,3%
Lib\idlelib\idle_test\test_format.py,376,375,38,0,1%
Lib\idlelib\idle_test\test_grep.py,95,94,12,0,1%
Lib\idlelib\idle_test\test_help.py,24,23,4,0,4%
Lib\idlelib\idle_test\test_help_about.py,121,120,20,0,1%
Lib\idlelib\idle_test\test_history.py,130,129,10,0,1%
Lib\idlelib\idle_test\test_hyperparser.py,183,179,12,0,2%
Lib\idlelib\idle_test\test_iomenu.py,50,49,12,0,2%
Lib\idlelib\idle_test\test_macosx.py,77,76,20,0,1%
Lib\idlelib\idle_test\test_mainmenu.py,20,19,14,0,3%
Lib\idlelib\idle_test\test_multicall.py,33,32,4,0,3%
Lib\idlelib\idle_test\test_outwin.py,118,117,12,0,1%
Lib\idlelib\idle_test\test_parenmatch.py,71,70,12,0,1%
Lib\idlelib\idle_test\test_pathbrowser.py,64,63,8,0,1%
Lib\idlelib\idle_test\test_percolator.py,91,90,6,0,1%
Lib\idlelib\idle_test\test_pyparse.py,210,184,48,1,12%
Lib\idlelib\idle_test\test_pyshell.py,109,108,12,0,1%
Lib\idlelib\idle_test\test_query.py,322,321,63,0,1%
Lib\idlelib\idle_test\test_redirector.py,92,91,6,0,1%
Lib\idlelib\idle_test\test_replace.py,230,229,6,0,1%
Lib\idlelib\idle_test\test_rpc.py,17,10,10,1,37%
Lib\idlelib\idle_test\test_run.py,356,355,36,0,1%
Lib\idlelib\idle_test\test_runscript.py,24,23,6,0,3%
Lib\idlelib\idle_test\test_scrolledlist.py,17,16,4,0,5%
Lib\idlelib\idle_test\test_search.py,50,49,8,0,2%
Lib\idlelib\idle_test\test_searchbase.py,112,109,20,0,2%
Lib\idlelib\idle_test\test_searchengine.py,212,211,38,0,1%
Lib\idlelib\idle_test\test_sidebar.py,517,510,44,0,1%
Lib\idlelib\idle_test\test_squeezer.py,277,275,28,0,1%
Lib\idlelib\idle_test\test_stackviewer.py,32,31,4,0,3%
Lib\idlelib\idle_test\test_statusbar.py,31,30,4,0,3%
Lib\idlelib\idle_test\test_text.py,157,129,20,1,20%
Lib\idlelib\idle_test\test_textview.py,162,161,20,0,1%
Lib\idlelib\idle_test\test_tooltip.py,114,113,6,0,1%
Lib\idlelib\idle_test\test_tree.py,39,38,12,0,2%
Lib\idlelib\idle_test\test_undo.py,97,93,6,0,4%
Lib\idlelib\idle_test\test_util.py,8,3,6,1,57%
Lib\idlelib\idle_test\test_warning.py,38,37,6,0,2%
Lib\idlelib\idle_test\test_window.py,28,27,6,0,3%
Lib\idlelib\idle_test\test_zoomheight.py,28,27,6,0,3%
Lib\idlelib\idle_test\test_zzdummy.py,105,104,10,0,1%
Lib\idlelib\iomenu.py,312,305,104,0,2%
Lib\idlelib\macosx.py,119,115,38,0,3%
Lib\idlelib\mainmenu.py,9,7,4,0,15%
Lib\idlelib\multicall.py,270,267,149,0,1%
Lib\idlelib\outwin.py,81,79,26,0,2%
Lib\idlelib\parenmatch.py,87,85,28,0,2%
Lib\idlelib\pathbrowser.py,84,80,30,0,4%
Lib\idlelib\percolator.py,91,89,14,0,2%
Lib\idlelib\pyparse.py,286,256,138,1,10%
Lib\idlelib\pyshell.py,1105,1100,392,1,1%
Lib\idlelib\query.py,212,207,60,0,2%
Lib\idlelib\redirector.py,74,73,12,0,1%
Lib\idlelib\replace.py,193,191,50,0,1%
Lib\idlelib\rpc.py,434,339,140,1,20%
Lib\idlelib\run.py,405,391,138,0,3%
Lib\idlelib\runscript.py,128,123,50,0,3%
Lib\idlelib\scrolledlist.py,112,111,30,0,1%
Lib\idlelib\search.py,79,78,18,0,1%
Lib\idlelib\searchengine.py,157,155,62,0,1%
Lib\idlelib\stackviewer.py,122,118,32,0,3%
Lib\idlelib\statusbar.py,39,38,8,0,2%
Lib\idlelib\textview.py,85,84,22,0,1%
Lib\idlelib\tooltip.py,92,91,16,0,1%
Lib\idlelib\tree.py,359,357,92,0,1%
Lib\idlelib\undo.py,257,202,90,1,19%
Lib\idlelib\util.py,5,2,2,1,57%
Lib\idlelib\window.py,71,70,16,0,1%
Lib\idlelib\zoomheight.py,66,63,16,0,4%
Lib\idlelib\zzdummy.py,32,31,6,0,3%
Lib\imaplib.py,739,609,272,2,15%
Lib\imghdr.py,108,104,52,0,2%
Lib\imp.py,169,168,80,0,1%
Lib\lib2to3\__init__.py,2,0,0,0,100%
Lib\lib2to3\btm_matcher.py,90,73,46,0,15%
Lib\lib2to3\btm_utils.py,167,148,115,0,7%
Lib\lib2to3\fixer_base.py,77,42,14,0,43%
Lib\lib2to3\fixer_util.py,250,204,138,0,12%
Lib\lib2to3\fixes\__init__.py,0,0,0,0,100%
Lib\lib2to3\fixes\fix_imports2.py,5,0,2,0,100%
Lib\lib2to3\fixes\fix_imports.py,49,34,19,0,25%
Lib\lib2to3\fixes\fix_urllib.py,107,96,60,0,8%
Lib\lib2to3\main.py,158,142,76,0,8%
Lib\lib2to3\patcomp.py,135,116,76,0,11%
Lib\lib2to3\pgen2\__init__.py,1,0,0,0,100%
Lib\lib2to3\pgen2\driver.py,112,69,46,8,34%
Lib\lib2to3\pgen2\grammar.py,51,15,8,0,75%
Lib\lib2to3\pgen2\literals.py,40,33,14,1,15%
Lib\lib2to3\pgen2\parse.py,83,70,36,0,14%
Lib\lib2to3\pgen2\pgen.py,297,265,138,0,9%
Lib\lib2to3\pgen2\token.py,73,3,4,0,96%
Lib\lib2to3\pgen2\tokenize.py,341,271,172,1,18%
Lib\lib2to3\pygram.py,19,0,4,0,100%
Lib\lib2to3\pytree.py,418,309,232,5,20%
Lib\lib2to3\refactor.py,448,382,238,2,12%
Lib\lib2to3\tests\__init__.py,7,3,0,0,57%
Lib\lib2to3\tests\data\fixers\myfixes\__init__.py,0,0,0,0,100%
Lib\lib2to3\tests\support.py,34,14,12,0,43%
Lib\lib2to3\tests\test_all_fixers.py,22,11,10,1,44%
Lib\lib2to3\tests\test_fixers.py,2776,2191,208,0,23%
Lib\lib2to3\tests\test_main.py,93,71,14,1,23%
Lib\lib2to3\tests\test_parser.py,412,259,58,1,42%
Lib\lib2to3\tests\test_pytree.py,370,327,12,0,12%
Lib\lib2to3\tests\test_refactor.py,243,197,38,0,17%
Lib\lib2to3\tests\test_util.py,317,253,38,0,24%
Lib\mailbox.py,1503,1264,669,0,13%
Lib\mailcap.py,185,168,94,1,6%
Lib\mimetypes.py,207,168,100,1,14%
Lib\modulefinder.py,497,447,240,1,7%
Lib\msilib\__init__.py,347,339,130,0,2%
Lib\netrc.py,146,129,82,1,11%
Lib\nntplib.py,534,521,223,0,2%
Lib\pickletools.py,498,330,218,11,28%
Lib\pipes.py,134,128,72,0,3%
Lib\plistlib.py,533,444,262,0,13%
Lib\poplib.py,209,156,60,2,23%
Lib\profile.py,289,246,92,1,14%
Lib\pstats.py,546,540,225,0,1%
Lib\pty.py,117,113,28,0,3%
Lib\py_compile.py,93,73,40,1,19%
Lib\pyclbr.py,179,153,88,1,13%
Lib\pydoc.py,1711,1520,864,2,9%
Lib\rlcompleter.py,111,91,62,3,14%
Lib\sched.py,65,41,12,0,34%
Lib\secrets.py,22,9,4,0,50%
Lib\shelve.py,111,79,28,0,29%
Lib\smtpd.py,609,600,230,0,1%
Lib\smtplib.py,514,416,227,2,17%
Lib\sndhdr.py,156,154,54,0,1%
Lib\socketserver.py,312,217,108,6,30%
Lib\statistics.py,488,403,220,0,13%
Lib\stringprep.py,65,36,18,0,35%
Lib\sunau.py,336,266,142,0,16%
Lib\symtable.py,162,86,68,1,41%
Lib\tabnanny.py,175,146,94,2,13%
Lib\tarfile.py,1485,1250,654,2,13%
Lib\telnetlib.py,377,265,122,2,23%
Lib\test\__init__.py,0,0,0,0,100%
Lib\test\_test_multiprocessing.py,4052,3270,813,3,19%
Lib\test\ann_module.py,40,9,14,0,83%
Lib\test\audiotests.py,271,232,20,0,16%
Lib\test\fork_wait.py,53,40,20,0,21%
Lib\test\inspect_fodder2.py,138,39,82,12,72%
Lib\test\inspect_fodder.py,56,20,12,0,71%
Lib\test\inspect_stock_annotations.py,19,6,6,1,72%
Lib\test\inspect_stringized_annotations.py,23,6,8,1,77%
Lib\test\inspect_stringized_annotations_2.py,2,0,2,1,75%
Lib\test\leakers\__init__.py,0,0,0,0,100%
Lib\test\leakers\test_ctypes.py,10,6,4,0,29%
Lib\test\leakers\test_selftype.py,9,7,4,0,15%
Lib\test\libregrtest\__init__.py,2,0,0,0,100%
Lib\test\libregrtest\cmdline.py,183,165,86,0,8%
Lib\test\libregrtest\main.py,496,483,240,0,2%
Lib\test\libregrtest\runtest.py,248,230,108,1,5%
Lib\test\libregrtest\save_env.py,217,144,32,0,32%
Lib\test\libregrtest\utils.py,136,119,30,0,10%
Lib\test\list_tests.py,443,410,40,0,7%
Lib\test\lock_tests.py,784,684,102,0,14%
Lib\test\mapping_tests.py,514,465,110,0,9%
Lib\test\mock_socket.py,105,60,14,1,42%
Lib\test\multibytecodec_support.py,274,268,98,0,2%
Lib\test\pickletester.py,2179,2162,662,0,1%
Lib\test\seq_tests.py,342,284,76,0,19%
Lib\test\string_tests.py,1071,988,136,7,9%
Lib\test\support\__init__.py,1132,762,410,31,29%
Lib\test\support\bytecode_helper.py,31,23,18,0,20%
Lib\test\support\hashlib_helper.py,31,10,6,0,68%
Lib\test\support\import_helper.py,107,45,36,4,53%
Lib\test\support\interpreters.py,88,52,32,0,37%
Lib\test\support\logging_helper.py,17,11,6,0,35%
Lib\test\support\os_helper.py,339,216,96,16,34%
Lib\test\support\script_helper.py,154,117,46,2,22%
Lib\test\support\socket_helper.py,120,91,57,4,19%
Lib\test\support\testresult.py,141,113,46,1,18%
Lib\test\support\threading_helper.py,126,92,50,3,23%
Lib\test\support\warnings_helper.py,104,60,30,2,36%
Lib\test\test___all__.py,96,76,50,2,19%
Lib\test\test___future__.py,39,31,12,1,22%
Lib\test\test__locale.py,125,95,52,3,20%
Lib\test\test__opcode.py,71,59,28,1,17%
Lib\test\test__osx_support.py,133,105,18,1,21%
Lib\test\test__xxsubinterpreters.py,1394,1174,292,1,15%
Lib\test\test_abc.py,557,509,274,1,7%
Lib\test\test_abstract_numbers.py,33,24,4,1,32%
Lib\test\test_aifc.py,321,311,46,0,3%
Lib\test\test_argparse.py,2269,1127,574,1,56%
Lib\test\test_array.py,1104,873,130,1,23%
Lib\test\test_asdl_parser.py,92,83,16,1,9%
Lib\test\test_ast.py,1342,1213,151,1,9%
Lib\test\test_asyncgen.py,1243,1151,96,1,8%
Lib\test\test_asynchat.py,200,185,32,0,6%
Lib\test\test_asyncio\__init__.py,8,1,0,0,88%
Lib\test\test_asyncio\functional.py,182,138,48,0,23%
Lib\test\test_asyncio\test_base_events.py,1344,1331,152,0,1%
Lib\test\test_asyncio\test_buffered_proto.py,51,33,16,1,40%
Lib\test\test_asyncio\test_context.py,25,17,4,1,38%
Lib\test\test_asyncio\test_events.py,1910,1883,300,1,1%
Lib\test\test_asyncio\test_futures2.py,11,5,4,1,60%
Lib\test\test_asyncio\test_futures.py,668,657,64,0,2%
Lib\test\test_asyncio\test_locks.py,1049,966,98,1,8%
Lib\test\test_asyncio\test_pep492.py,131,125,22,0,4%
Lib\test\test_asyncio\test_proactor_events.py,784,770,26,0,2%
Lib\test\test_asyncio\test_protocols.py,53,42,4,1,25%
Lib\test\test_asyncio\test_queues.py,349,294,50,1,19%
Lib\test\test_asyncio\test_runners.py,242,233,25,0,3%
Lib\test\test_asyncio\test_selector_events.py,963,950,44,0,1%
Lib\test\test_asyncio\test_sendfile.py,390,377,70,0,3%
Lib\test\test_asyncio\test_server.py,92,86,16,0,6%
Lib\test\test_asyncio\test_sock_lowlevel.py,394,386,66,0,2%
Lib\test\test_asyncio\test_ssl.py,1090,1074,156,0,1%
Lib\test\test_asyncio\test_sslproto.py,485,472,60,0,2%
Lib\test\test_asyncio\test_streams.py,742,728,42,0,2%
Lib\test\test_asyncio\test_subprocess.py,406,396,42,0,2%
Lib\test\test_asyncio\test_taskgroups.py,506,503,26,0,1%
Lib\test\test_asyncio\test_tasks.py,2266,2247,180,0,1%
Lib\test\test_asyncio\test_threads.py,40,27,6,1,35%
Lib\test\test_asyncio\test_timeouts.py,176,149,4,1,17%
Lib\test\test_asyncio\test_transports.py,67,53,8,1,23%
Lib\test\test_asyncio\test_unix_events.py,1264,1247,136,1,1%
Lib\test\test_asyncio\test_waitfor.py,196,169,12,1,15%
Lib\test\test_asyncio\test_windows_events.py,172,158,26,1,8%
Lib\test\test_asyncio\test_windows_utils.py,87,71,10,2,23%
Lib\test\test_asyncio\utils.py,375,357,102,0,4%
Lib\test\test_asyncore.py,573,552,118,1,3%
Lib\test\test_atexit.py,46,28,8,1,46%
Lib\test\test_audioop.py,364,319,90,1,12%
Lib\test\test_audit.py,115,85,40,2,22%
Lib\test\test_augassign.py,232,222,14,1,5%
Lib\test\test_base64.py,438,383,66,1,12%
Lib\test\test_baseexception.py,126,104,36,1,17%
Lib\test\test_bdb.py,569,465,148,1,18%
Lib\test\test_bigaddrspace.py,54,33,8,1,42%
Lib\test\test_bigmem.py,942,716,48,1,24%
Lib\test\test_binascii.py,321,280,48,1,14%
Lib\test\test_binop.py,325,243,108,1,26%
Lib\test\test_bisect.py,216,211,98,0,2%
Lib\test\test_bool.py,305,272,42,1,10%
Lib\test\test_buffer.py,2884,2671,745,6,7%
Lib\test\test_bufio.py,42,26,10,1,44%
Lib\test\test_builtin.py,1666,1478,352,2,11%
Lib\test\test_bytes.py,1497,1302,244,2,13%
Lib\test\test_bz2.py,761,612,70,2,20%
Lib\test\test_c_locale_coercion.py,175,121,68,6,28%
Lib\test\test_calendar.py,404,292,58,1,29%
Lib\test\test_call.py,387,260,90,1,32%
Lib\test\test_capi.py,638,492,114,1,24%
Lib\test\test_cgi.py,287,278,62,0,3%
Lib\test\test_cgitb.py,49,43,4,0,11%
Lib\test\test_charmapcodec.py,33,22,6,1,36%
Lib\test\test_check_c_globals.py,14,5,4,1,67%
Lib\test\test_class.py,412,377,56,1,9%
Lib\test\test_clinic.py,319,213,38,1,37%
Lib\test\test_cmath.py,374,320,144,3,13%
Lib\test\test_cmd.py,79,53,18,1,36%
Lib\test\test_cmd_line.py,510,421,70,2,17%
Lib\test\test_cmd_line_script.py,427,349,36,1,17%
Lib\test\test_code.py,327,314,72,0,3%
Lib\test\test_code_module.py,100,80,18,1,19%
Lib\test\test_codeccallbacks.py,444,385,139,1,13%
Lib\test\test_codecencodings_cn.py,21,20,10,0,3%
Lib\test\test_codecencodings_hk.py,8,7,4,0,8%
Lib\test\test_codecencodings_iso2022.py,20,19,8,0,4%
Lib\test\test_codecencodings_jp.py,38,37,16,0,2%
Lib\test\test_codecencodings_kr.py,16,15,8,0,4%
Lib\test\test_codecencodings_tw.py,8,7,4,0,8%
Lib\test\test_codecmaps_cn.py,13,12,8,0,5%
Lib\test\test_codecmaps_hk.py,7,6,4,0,9%
Lib\test\test_codecmaps_jp.py,28,27,14,0,2%
Lib\test\test_codecmaps_kr.py,17,16,8,0,4%
Lib\test\test_codecmaps_tw.py,12,11,6,0,6%
Lib\test\test_codecs.py,1666,1335,382,6,20%
Lib\test\test_codeop.py,240,221,20,2,9%
Lib\test\test_collections.py,1791,1634,507,1,8%
Lib\test\test_colorsys.py,48,36,30,1,19%
Lib\test\test_compare.py,89,68,42,1,21%
Lib\test\test_compile.py,856,773,164,3,8%
Lib\test\test_compileall.py,749,736,80,0,2%
Lib\test\test_complex.py,600,596,140,0,1%
Lib\test\test_concurrent_futures.py,921,692,182,3,26%
Lib\test\test_configparser.py,1335,1138,206,1,17%
Lib\test\test_contains.py,72,57,34,1,23%
Lib\test\test_context.py,749,662,74,1,12%
Lib\test\test_contextlib.py,909,783,124,1,15%
Lib\test\test_contextlib_async.py,553,551,78,0,1%
Lib\test\test_copy.py,761,672,150,2,10%
Lib\test\test_copyreg.py,73,70,26,0,3%
Lib\test\test_cprofile.py,50,46,10,0,7%
Lib\test\test_crashers.py,22,8,10,1,53%
Lib\test\test_crypt.py,85,59,32,3,28%
Lib\test\test_csv.py,953,763,124,1,21%
Lib\test\test_ctypes.py,6,3,2,0,38%
Lib\test\test_curses.py,1034,1023,110,0,1%
Lib\test\test_dataclasses.py,2751,2578,935,3,5%
Lib\test\test_datetime.py,42,36,20,1,11%
Lib\test\test_dbm.py,156,107,36,1,30%
Lib\test\test_dbm_dumb.py,229,183,42,1,18%
Lib\test\test_dbm_gnu.py,139,136,20,0,2%
Lib\test\test_dbm_ndbm.py,112,109,14,0,2%
Lib\test\test_decimal.py,3752,3733,552,1,1%
Lib\test\test_decorators.py,322,289,86,1,10%
Lib\test\test_defaultdict.py,160,140,10,1,14%
Lib\test\test_deque.py,767,667,218,1,12%
Lib\test\test_descr.py,4382,4167,1496,1,4%
Lib\test\test_descrtut.py,65,31,26,1,52%
Lib\test\test_devpoll.py,105,98,18,1,7%
Lib\test\test_dict.py,1195,1075,282,1,9%
Lib\test\test_dict_version.py,102,76,10,1,29%
Lib\test\test_dictcomps.py,70,57,32,1,16%
Lib\test\test_dictviews.py,271,248,14,1,9%
Lib\test\test_difflib.py,284,226,42,1,23%
Lib\test\test_dis.py,625,584,152,1,6%
Lib\test\test_distutils.py,11,6,2,0,38%
Lib\test\test_doctest2.py,33,14,14,2,57%
Lib\test\test_doctest.py,171,84,68,21,53%
Lib\test\test_docxmlrpc.py,111,110,14,0,1%
Lib\test\test_dtrace.py,100,51,36,1,49%
Lib\test\test_dynamic.py,94,78,34,1,15%
Lib\test\test_dynamicclassattribute.py,221,143,66,1,39%
Lib\test\test_eintr.py,13,3,4,1,76%
Lib\test\test_email\__init__.py,83,25,52,4,70%
Lib\test\test_email\test__encoded_words.py,113,60,14,1,52%
Lib\test\test_email\test__header_value_parser.py,1268,919,26,1,28%
Lib\test\test_email\test_asian_codecs.py,44,32,4,1,31%
Lib\test\test_email\test_contentmanager.py,424,338,34,1,21%
Lib\test\test_email\test_defect_handling.py,133,93,40,1,29%
Lib\test\test_email\test_email.py,3014,2994,198,0,1%
Lib\test\test_email\test_generator.py,148,103,14,2,34%
Lib\test\test_email\test_headerregistry.py,539,403,48,1,28%
Lib\test\test_email\test_inversion.py,36,16,8,2,59%
Lib\test\test_email\test_message.py,332,266,66,1,21%
Lib\test\test_email\test_parser.py,57,31,20,1,51%
Lib\test\test_email\test_pickleable.py,44,15,10,1,63%
Lib\test\test_email\test_policy.py,237,164,56,1,31%
Lib\test\test_email\test_utils.py,129,80,10,1,40%
Lib\test\test_email\torture_test.py,47,30,10,1,39%
Lib\test\test_embed.py,772,613,220,7,18%
Lib\test\test_ensurepip.py,189,137,20,1,31%
Lib\test\test_enum.py,3325,3313,1057,0,1%
Lib\test\test_enumerate.py,219,146,74,1,36%
Lib\test\test_eof.py,59,45,6,1,26%
Lib\test\test_epoll.py,167,158,14,1,6%
Lib\test\test_errno.py,17,8,14,1,45%
Lib\test\test_exception_group.py,566,494,130,1,15%
Lib\test\test_exception_hierarchy.py,143,91,36,1,43%
Lib\test\test_exceptions.py,1779,1622,204,1,9%
Lib\test\test_extcall.py,9,3,2,1,64%
Lib\test\test_faulthandler.py,370,255,58,2,28%
Lib\test\test_fcntl.py,161,151,30,0,5%
Lib\test\test_file.py,227,183,58,1,20%
Lib\test\test_file_eintr.py,95,52,38,2,47%
Lib\test\test_filecmp.py,154,129,18,1,17%
Lib\test\test_fileinput.py,681,552,86,1,22%
Lib\test\test_fileio.py,455,348,54,1,24%
Lib\test\test_fileutils.py,19,11,10,1,38%
Lib\test\test_finalization.py,368,262,88,1,34%
Lib\test\test_float.py,1098,1087,160,0,1%
Lib\test\test_flufl.py,26,19,4,1,33%
Lib\test\test_fnmatch.py,119,97,10,1,22%
Lib\test\test_fork1.py,72,61,24,1,12%
Lib\test\test_format.py,444,411,54,1,7%
Lib\test\test_fractions.py,568,494,44,6,14%
Lib\test\test_frame.py,182,155,22,1,17%
Lib\test\test_frozen.py,34,25,6,1,30%
Lib\test\test_fstring.py,778,698,44,1,10%
Lib\test\test_ftplib.py,824,803,110,0,2%
Lib\test\test_funcattrs.py,308,258,52,1,19%
Lib\test\test_functools.py,2327,2302,478,0,1%
Lib\test\test_future3.py,18,8,4,1,59%
Lib\test\test_future4.py,7,2,4,1,73%
Lib\test\test_future5.py,13,5,4,1,65%
Lib\test\test_future.py,325,284,14,1,14%
Lib\test\test_gc.py,847,746,224,2,11%
Lib\test\test_gdb.py,374,357,106,0,4%
Lib\test\test_generator_stop.py,24,18,4,1,32%
Lib\test\test_generators.py,620,546,148,1,12%
Lib\test\test_genericclass.py,253,224,118,1,10%
Lib\test\test_genericpath.py,390,323,42,1,18%
Lib\test\test_genexps.py,12,4,4,2,62%
Lib\test\test_getargs2.py,906,738,114,1,25%
Lib\test\test_getopt.py,99,81,6,1,20%
Lib\test\test_getpass.py,109,73,14,1,35%
Lib\test\test_getpath.py,518,430,123,0,15%
Lib\test\test_gettext.py,395,301,62,1,26%
Lib\test\test_glob.py,294,253,84,1,12%
Lib\test\test_global.py,30,17,4,1,47%
Lib\test\test_graphlib.py,162,139,20,1,14%
Lib\test\test_grp.py,77,74,28,0,3%
Lib\test\test_gzip.py,633,526,62,1,17%
Lib\test\test_hash.py,199,108,86,2,47%
Lib\test\test_hashlib.py,744,725,198,0,2%
Lib\test\test_heapq.py,345,337,170,0,2%
Lib\test\test_hmac.py,338,260,24,1,25%
Lib\test\test_html.py,61,55,30,1,10%
Lib\test\test_htmlparser.py,287,213,48,1,26%
Lib\test\test_http_cookiejar.py,953,945,82,0,1%
Lib\test\test_http_cookies.py,282,278,36,0,1%
Lib\test\test_httplib.py,1460,1457,186,0,1%
